'CATCH_HISANALYSIS_DATA_BTN_ADD','CATCH_HISANALYSIS_DATA','[按钮]添加任务','#',1,'','0',2,'1','CATCH_HISANALYSIS_DATA_BTN_ADD'
'CATCH_HISANALYSIS_DATA_BTN_EDIT','CATCH_HISANALYSIS_DATA','[按钮]编辑任务','#',2,'','0',2,'1','CATCH_HISANALYSIS_DATA_BTN_EDIT'
'CATCH_HISANALYSIS_DATA_BTN_PAUSE','CATCH_HISANALYSIS_DATA','[按钮]停止任务','#',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',2,'1','CATCH_HISANALYSIS_DATA_BTN_PAUSE'
'CATCH_HISANALYSIS_DATA_BTN_DEL','CATCH_HISANALYSIS_DATA','[按钮]删除任务','#',4,'','0',2,'1','CATCH_HISANALYSIS_DATA_BTN_DEL'
'CATCH_IMSIS_DATA_BTN_ADD','CATCH_IMSIS_DATA','[按钮]添加任务','#',1,'','0',2,'1','CATCH_IMSIS_DATA_BTN_ADD'
'CATCH_IMSIS_DATA_BTN_EDIT','CATCH_IMSIS_DATA','[按钮]编辑任务','#',2,'','0',2,'1','CATCH_IMSIS_DATA_BTN_EDIT'
'CATCH_IMSIS_DATA_BTN_PAUSE','CATCH_IMSIS_DATA','[按钮]停止任务','#',3,'\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',2,'1','CATCH_IMSIS_DATA_BTN_PAUSE'
'CATCH_IMSIS_DATA_BTN_DEL','CATCH_IMSIS_DATA','[按钮]删除任务','#',4,'','0',2,'1','CATCH_IMSIS_DATA_BTN_DEL'
'TERMINAL_DATA_MANA_BTN_UPLOAD','TERMINAL_DATA_MANA','[按钮]上传终端','#',1,'','0',2,'1','TERMINAL_DATA_MANA_BTN_UPLOAD'
'TERMINAL_DATA_MANA_BTN_CLEAR','TERMINAL_DATA_MANA','[按钮]清除终端','#',2,'','0',2,'1','TERMINAL_DATA_MANA_BTN_CLEAR'
'TERMINAL_TASK_MANA_BTN_ADD','TERMINAL_TASK_MANA','[按钮]添加任务','#',1,'','0',2,'1','TERMINAL_TASK_MANA_BTN_ADD'
'TERMINAL_TASK_MANA_BTN_EDIT','TERMINAL_TASK_MANA','[按钮]编辑任务','#',2,'','0',2,'1','TERMINAL_TASK_MANA_BTN_EDIT'
'TERMINAL_TASK_MANA_BTN_DEL','TERMINAL_TASK_MANA','[按钮]删除任务','#',3,'','0',2,'1','TERMINAL_TASK_MANA_BTN_DEL'
'RULE_BUSI_MANA_BTN_ADD','RULE_BUSI_MANA','[按钮]添加','#',1,'','0',2,'1','RULE_BUSI_MANA_BTN_ADD'
'RULE_BUSI_MANA_BTN_EDIT','RULE_BUSI_MANA','[按钮]编辑','#',2,'','0',2,'1','RULE_BUSI_MANA_BTN_EDIT'
'RULE_BUSI_MANA_BTN_DEL','RULE_BUSI_MANA','[按钮]删除','#',3,'','0',2,'1','RULE_BUSI_MANA_BTN_DEL'
'RULE_MA_MAIN_MANA_BTN_ADD','RULE_MA_MAIN_MANA','[按钮]添加','#',1,'','0',2,'1','RULE_MA_MAIN_MANA_BTN_ADD'
'RULE_MA_MAIN_MANA_BTN_EDIT','RULE_MA_MAIN_MANA','[按钮]编辑','#',2,'','0',2,'1','RULE_MA_MAIN_MANA_BTN_EDIT'
'RULE_MA_MAIN_MANA_BTN_DEL','RULE_MA_MAIN_MANA','[按钮]删除','#',3,'','0',2,'1','RULE_MA_MAIN_MANA_BTN_DEL'
'RULE_MA_MAIN_MANA_BTN_MAP','RULE_MA_MAIN_MANA','[按钮]关联检验规则','#',4,'','0',2,'1','RULE_MA_MAIN_MANA_BTN_MAP'
'RULE_MA_ASSIST_MANA_BTN_ADD','RULE_MA_ASSIST_MANA','[按钮]添加','#',1,'','0',2,'1','RULE_MA_ASSIST_MANA_BTN_ADD'
'RULE_MA_ASSIST_MANA_BTN_EDIT','RULE_MA_ASSIST_MANA','[按钮]编辑','#',2,'','0',2,'1','RULE_MA_ASSIST_MANA_BTN_EDIT'
'RULE_MA_ASSIST_MANA_BTN_DEL','RULE_MA_ASSIST_MANA','[按钮]删除','#',3,'','0',2,'1','RULE_MA_ASSIST_MANA_BTN_DEL'
'RULE_MA_MAMAP_MANA_BTN_DEL','RULE_MA_MAMAP_MANA','[按钮]删除','#',3,'','0',2,'1','RULE_MA_MAMAP_MANA_BTN_DEL'
'RULE_TEST_MANA_MANA_BTN_BIZ_ADD','RULE_TEST_MANA','[按钮]添加已有业务拨测','#',1,'','0',2,'1','RULE_TEST_MANA_MANA_BTN_BIZ_ADD'
'RULE_TEST_MANA_MANA_BTN_NEW_ADD','RULE_TEST_MANA','[按钮]添加新业务拨测','#',2,'','0',2,'1','RULE_TEST_MANA_MANA_BTN_NEW_ADD'
'RULE_TEST_MANA_BTN_EDIT','RULE_TEST_MANA','[按钮]编辑','#',3,'','0',2,'1','RULE_TEST_MANA_BTN_EDIT'
'RULE_TEST_MANA_BTN_DEL','RULE_TEST_MANA','[按钮]删除','#',4,'','0',2,'1','RULE_TEST_MANA_BTN_DEL'
'DATA_CATCH_USER_PERM','BUSINUSS_DATA_CATCH','[功能]数据提取任务权限','#',4,'','0',9,'1','DATA_CATCH_USER_PERM'
'MANTOEYE_TEMP_MEMU','BASE','未开放功能','#',99,'','0',1,'1','MANTOEYE_TEMP_MEMU'
'FLUSH_SPACE_DATE','402881d12a2257f3012a41201b8700da','空间时间走势','/mantoeye/data_trend/space_distribute_trend.jsp?1=1',1,'\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','FLUSH_SPACE_DATE'
'FLUSH_BUSI_DATE','402881d12a2257f3012a41201b8700da','业务时间走势','/mantoeye/data_trend/business_distribute_trend.jsp?1=1',2,'\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09\x09 \x0D\x0A\x09\x09\x09\x09\x09\x09\x09\x0D\x0A\x09\x09\x09\x09\x09\x09\x09','0',1,'1','FLUSH_BUSI_DATE'
